Year,Host,Total Attendance,Matches,Teams,First,Second,Third,Fourth
1930,Uruguay,590549,18,13,Uruguay,Argentina,United States,Yugoslavia
1934,Italy,363000,17,16,Italy,Czechoslovakia,Germany,Austria
1938,France,375700,18,15,Italy,Hungary,Brazil,Sweden
1950,Brazil,1045246,22,13,Uruguay,Brazil,Sweden,Spain
1954,Switzerland,768607,26,16,West Germany,Hungary,Austria,Uruguay
1958,Sweden,819810,35,16,Brazil,Sweden,France,West Germany
1962,Chile,893172,32,16,Brazil,Czechoslovakia,Chile,Yugoslavia
1966,England,1563135,32,16,England,West Germany,Portugal,Soviet Union
1970,Mexico,1603975,32,16,Brazil,Italy,West Germany,Uruguay
1974,West Germany,1865753,38,16,West Germany,Netherlands,Poland,Brazil
1978,Argentina,1545791,38,16,Argentina,Netherlands,Brazil,Italy
1982,Spain,2109723,52,24,Italy,West Germany,Poland,France
1986,Mexico,2394031,52,24,Argentina,West Germany,France,Belgium
1990,Italy,2516215,52,24,West Germany,Argentina,Italy,England
1994,United States,3587538,52,24,Brazil,Italy,Sweden,Bulgaria
1998,France,2785100,64,32,France,Brazil,Croatia,Netherlands
2002,South Korea Japan,2705197,64,32,Brazil,Germany,Turkey,South Korea
2006,Germany,3359439,64,32,Italy,France,Germany,Portugal
2010,South Africa,3178856,64,32,Spain,Netherlands,Germany,Uruguay
2014,Brazil,3429873,64,32,Germany,Argentina,Netherlands,Brazil
2018,Russia,3031768,64,32,France,Croatia,Belgium,England
2022,Qatar,3404252,64,32,Argentina,France,Croatia,Morocco
