carat,cut,color,clarity,price,x,y,z
2.04,Very Good,J,SI2,9482,8.07,8.04,5.11
0.59,Very Good,H,VVS2,1771,5.39,5.48,3.32
0.34,Very Good,H,VS2,689,4.45,4.39,2.8
1.01,Good,H,SI2,3888,6.32,6.35,4.05
0.5,Ideal,D,VS2,1635,5.1,5.13,3.19
1.76,Ideal,G,VS1,18178,7.74,7.7,4.85
0.33,Premium,G,IF,1094,4.54,4.49,2.68
1.59,Ideal,I,SI2,8975,7.62,7.55,4.59
0.54,Premium,D,SI1,1650,5.21,5.12,3.23
0.48,Fair,G,VVS2,1367,4.95,4.9,3.2
0.33,Premium,I,IF,694,4.39,4.43,2.74
0.7,Ideal,G,SI1,2965,5.73,5.79,3.51
1.22,Premium,E,SI1,6403,7.03,6.9,4.16
0.41,Ideal,G,VS2,949,4.82,4.84,2.94
0.32,Very Good,F,VS2,645,4.34,4.38,2.74
1.1,Ideal,H,VS2,6344,6.58,6.63,4.14
1.41,Premium,G,SI1,8758,7.35,7.3,4.36
0.39,Good,F,SI1,921,4.65,4.6,2.94
0.34,Premium,H,VS2,689,4.46,4.42,2.78
0.91,Ideal,I,VVS2,4663,6.25,6.27,3.79
0.3,Ideal,G,SI1,487,4.31,4.34,2.67
1.01,Premium,E,SI1,5279,6.36,6.4,3.94
0.7,Ideal,F,VS2,2671,5.68,5.71,3.52
0.41,Premium,F,SI1,969,4.78,4.74,2.98
1.2,Premium,G,VS2,7661,6.85,6.81,4.21
0.31,Premium,I,SI1,523,4.37,4.33,2.64
0.42,Ideal,G,VVS1,1235,4.82,4.78,2.94
0.37,Very Good,F,SI1,616,4.56,4.6,2.86
2.01,Premium,H,SI2,12423,8.08,8.0,4.89
0.3,Ideal,D,VS2,710,4.33,4.36,2.65
0.91,Premium,H,SI1,3669,6.16,6.13,3.86
1.1,Ideal,E,SI2,5082,6.61,6.64,4.08
0.32,Very Good,H,VS2,505,4.39,4.41,2.76
0.9,Fair,F,VS1,3750,5.96,5.92,3.9
0.78,Ideal,E,VS2,3601,5.92,6.0,3.68
1.01,Ideal,H,SI1,5189,6.38,6.43,3.98
0.71,Ideal,H,IF,3290,5.75,5.78,3.55
0.7,Fair,F,I1,945,5.64,5.5,3.57
0.4,Premium,F,SI1,945,4.74,4.71,2.89
