Title,Country,Maturity Rating,Review Rating,Language,Filming Locations,Budget,Release Month,Release Day,Run Time
Rise of the Animals (2011),USA,NOT RATED,3.6,English,"Rochester, New York, USA",7000,May,1,70
Zombie Resurrection (2014),UK,NOT RATED,2.7,English,"Hampshire, England, UK",100000,March,23,86
Before Dawn (2013),Japan,NOT RATED,4.7,English,"Yorkshire, England, UK",25000,June,8,82
Apparition (2015),USA,NOT RATED,4.0,English,"Philadelphia, Pennsylvania, USA",3000000,May,5,100
Her Cry: La Llorona Investigation (2013),USA,NOT RATED,5.4,English,"Houston, Texas, USA",60000,April,19,89
Haunted House on Sorority Row (2014),USA,NOT RATED,5.6,English,"Dayton, Ohio, USA",65000,February,21,81
Legend Has It (2009),UK,NOT RATED,4.1,English,"Pasadena, California, USA",350000,September,17,95
Fetish Dolls Die Laughing (2012),USA,NOT RATED,2.0,English,"Pittsburgh, Pennsylvania, USA",4000,April,24,100
Shame the Devil (2013),USA,NOT RATED,3.5,English,"London, England, UK",3000000,September,9,94
Holla II (2013),USA,R,6.9,English,"Ellenton, Florida, USA",1000000,April,19,90
The Lurking (2015),USA,NOT RATED,6.0,English,"Wisconsin, USA",730,December,10,61
"Gangsters, Guns & Zombies (2012)",USA,TV-MA,3.9,English,"Kent, England, UK",1200,December,11,88
Hazard Jack (2014),USA,NOT RATED,2.7,English,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA",3000000,May,13,82
Reminiscence: The Beginning (2014),Turkey,NOT RATED,6.4,English,"Izmir, Turkey",500000,June,1,100
Lost Lake (2012),Germany,R,3.4,English,"Trona, California, USA",500000,November,13,85
Jake's Road (2017),USA,NOT RATED,4.0,English,"Folsom, Louisiana, USA",300000,September,23,85
Wild Men (2017),USA,TV-MA,6.9,English,"Pawling, New York, USA",97948,February,7,90
The Man in the Orange Jacket (2014),Latvia,TV-MA,5.1,Latvian,Latvia,40000,February,27,71
Scream Park (2012),UK,NOT RATED,4.2,English,"University of Pittsburgh, Pittsburgh, Pennsylvania, USA",3000000,April,25,85
"Silent Night, Bloody Night: The Homecoming (2013)",UK,NOT RATED,4.5,English,"Bridgend, Wales, UK",20000,June,10,85
Dream Nightmare (2016),USA,NOT RATED,8.0,English,"Chicago, Illinois, USA",500,December,30,75
Nazi Vengeance (2014),USA,R,2.5,English,"Duncannon Fort, Co.Wexford, Ireland",125000,May,5,97
Love of my Life (2013),USA,NOT RATED,3.4,English,Australia,150000,November,10,96
Psychedelia (2016),USA,NOT RATED,8.6,English,"1147 N. Western Ave, Chicago, Illinois, USA",2000,June,2,73
A Cry from Within (2014),USA,NOT RATED,3.9,English,"Manhattan, New York City, New York, USA",450000,April,3,96
How to Kill a Zombie (2014),USA,NOT RATED,4.5,English,"Maine, USA",20000,May,9,91
Date of the Dead (2015),USA,NOT RATED,4.4,English,"Tucson, Arizona, USA",50000,August,17,98
90210 Shark Attack (2014),USA,NOT RATED,1.9,English,"24389 Dry Canyon Cold Creek Road, Calabasas, California, USA",1000000,October,1,75
Rise of the Zombie (2013),India,NOT RATED,4.3,Hindi,"Uttarakhand, India",500000,April,5,86
Deer Crossing (2012),USA,NOT RATED,3.2,English,"Pipersville, Pennsylvania, USA",50000,September,25,110
6 Days Dark (2014),USA,NOT RATED,4.1,English,"Istanbul, Turkey",2000000,November,20,90
Zombie Dawn (2011),USA,R,3.2,Spanish,"Santiago, Chile",22000,April,20,83
Infected (2013),USA,NOT RATED,3.8,English,"Bedford, Bedfordshire, England, UK",20000,June,9,116
Blood Runs Cold (2011),USA,NOT RATED,4.1,English,"Stockholm, Stockholms län, Sweden",5000,July,2,80
After Dark (2013),USA,NOT RATED,4.2,English,"Long Beach, California, USA",100000,February,3,87
Shock Value (2014),USA,NOT RATED,5.6,English,"Woodland Hills, Los Angeles, California, USA",150000,August,1,91
Head Cases: Serial Killers in the Delaware Valley (2013),USA,NOT RATED,4.3,English,"Claymont, Delaware, USA",17000,September,28,110
The Oatmeal Man (2014),USA,NOT RATED,4.5,English,"Los Angeles, California, USA",100000,October,19,81
Shockwave (2016),USA,NOT RATED,7.8,English,"Chicago, Illinois, USA",1000,January,1,88
Gilgamesh (2014),USA,NOT RATED,5.4,English,"Lawrence, Massachusetts, USA",20000,November,20,103
Eddie: The Sleepwalking Cannibal (2012),USA,NOT RATED,5.7,English,"Ottawa, Ontario, Canada",1500000,April,5,90
Stab 6: Ghostface Returns (2012),USA,NOT RATED,7.5,English,"Manchester, New Hampshire, USA",1300,October,31,105
Colour from the Dark (2008),Italy,NOT RATED,4.7,English,"Ferrara, Ferrara, Emilia-Romagna, Italy",100000,March,9,92
Vamperifica (2012),USA,NOT RATED,3.7,English,"Clinton Diner, Maspeth, Queens, New York City, New York, USA",1000000,October,18,99
The Secret Village (2013),USA,NOT RATED,2.4,English,"Berkshires, Massachusetts, USA",1950000,October,18,89
The Brides of Sodom (2013),USA,NOT RATED,2.6,English,"Los Angeles, California, USA",1500000,January,29,89
Speak No Evil (2013),Brazil,R,3.7,English,"Apache Junction, Arizona, USA",150000,October,8,74
Devoured (2012),USA,NOT RATED,5.4,English|Spanish,"Manhattan, New York City, New York, USA",1500000,September,2,89
It's in the Blood (2012),USA,TV-MA,4.6,English,"Spiderwood Studios, Austin, Texas, USA",3000000,January,28,81
Empress of the Evil Dead (2012),USA,UNRATED,4.9,English|Chinese,"Alhambra, California, USA",250000,April,27,89
