State,Most_Popular_Candy,Pounds_Of_Candy
AL,Skittles,105263
AK,Sour Patch Kids,4873
AZ,Hersheys Kisses,779828
AR,Butterfinger,201837
CA,Reeses Peanut Butter Cups,1231675
CO,Hersheys Kisses,120982
CT,Almond Joy,2981
DE,Sour Patch Kids,20083
FL,Reeses Peanut Butter Cups,687288
GA,Swedish Fish,138928
HI,Hersheys Mini Bars,26771
ID,Snickers,83648
IL,Sour Patch Kids,152928
IN,Starburst,92811
IA,M&Ms,65779
KS,M&Ms,211098
KY,Reeses Peanut Butter Cups,67901
LA,Lemonheads,109826
ME,Sour Patch Kids,57829
MD,Hersheys Kisses,36718
MA,Sour Patch Kids,69697
MI,Starburst,108928
MN,Tootsie Pops,167844
MS,3 Musketeers,91820
MO,Milky Way,45281
MT,Twix,29833
NE,Sour Patch Kids,89281
NV,Hersheys Kisses,219891
NH,M&Ms,68993
NJ,Tootsie Pops,145726
NM,Hersheys Mini Bars,80726
NY,Sour Patch Kids,136729
NC,Reeses Peanut Butter Cups,82019
ND,Candy Corn,42871
OH,M&Ms,154231
OK,Skittles,20091
OR,M&Ms,81982
PA,Hersheys Mini Bars,239081
RI,Twix,14987
SC,Butterfinger,111984
SD,Starburst,21827
TN,Tootsie Pops,403727
TX,Starburst,902918
UT,Tootsie Pops,403727
VT,M&Ms,36543
VA,Snickers,151728
DC,M&Ms,24770
WA,Tootsie Pops,167289
WV,Hersheys Mini Bars,36279
WI,Butterfinger,104829
WY,Reeses Peanut Butter Cups,23978
