,Title,Genre,Premiere,Runtime,IMDb Score,Language
0,Win It All,Comedy,"April 7, 2017",88,6.2,English
1,When We First Met,Romantic comedy,"February 9, 2018",97,6.4,English
2,I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",89,4.6,English
3,Sergio,Biopic,"April 17, 2020",118,6.1,English
4,7 años,Drama,"October 28, 2016",76,6.8,Spanish
5,Intuition,Thriller,"May 28, 2020",116,5.3,Spanish
6,Road to Roma,Making-of,"February 11, 2020",72,7.7,Spanish
7,Rebecca,Romantic thriller,"October 21, 2020",123,6.0,English
8,Crazy Awesome Teachers,Comedy-drama,"August 17, 2020",101,6.2,Indonesian
9,Baggio: The Divine Ponytail,Biopic,"May 26, 2021",92,6.2,Italian
10,Seaspiracy,Documentary,"March 24, 2021",89,8.2,English
11,The Day of the Lord,Drama,"October 30, 2020",93,4.9,Spanish
12,The Old Guard,Superhero/Action,"July 10, 2020",124,6.7,English
13,Dolly Kitty and Those Twinkling Stars,Drama,"September 18, 2020",120,5.4,Hindi
14,Homecoming: A Film by Beyonce ,Documentary,"April 17, 2019",137,7.5,English
15,The Week Of,Comedy,"April 27, 2018",116,5.2,English
16,Soni,Crime drama,"January 18, 2019",97,7.2,Hindi
17,Long Live Brij Mohan,Comedy,"August 3, 2018",105,6.8,Hindi
18,Dolly Parton: A MusiCares Tribute,Documentary,"April 7, 2021",55,6.5,English
19,Da 5 Bloods,War drama,"June 12, 2020",155,6.5,English
20,Tony Parker: The Final Shot,Documentary,"January 6, 2021",98,6.8,French
21,Icarus,Documentary,"August 4, 2017",120,7.9,English
22,Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English
23,The Other Side of the Wind,Drama,"November 2, 2018",122,6.8,English
24,First They Killed My Father,Drama,"September 15, 2017",136,7.2,Khmer/English/French
25,Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46,4.6,Portuguese
26,Murder to Mercy: The Cyntoia Brown Story,Documentary,"April 29, 2020",97,6.4,English
27,The Irishman: In Conversation,Aftershow / Interview,"November 27, 2019",23,7.4,English
28,Spenser Confidential,Action comedy,"March 6, 2020",111,6.2,English
29,Yes Day,Comedy,"March 12, 2021",86,5.7,English
30,Prime Time,Thriller,"April 14, 2021",91,5.7,Polish
31,The Last Laugh,Comedy-drama,"January 11, 2019",98,5.6,English
32,Triple Frontier,Action-thriller,"March 13, 2019",125,6.4,English
33,The Princess Switch,Romantic comedy,"November 16, 2018",101,6.0,English
34,House Arrest,Comedy,"November 15, 2019",104,5.5,Hindi
35,High Flying Bird,Sports-drama,"February 8, 2019",90,6.2,English
36,Tony Robbins: I Am Not Your Guru,Documentary,July 15. 2016,116,6.7,English
37,The Do-Over,Action comedy,"May 27, 2016",108,5.7,English
38,The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,"July 6, 2018",83,5.5,English
39,The Speed Cubers,Documentary,"July 29, 2020",40,7.4,English
40,If Anything Happens I Love You,Animation / Short,"November 20, 2020",12,7.8,English
41,Justin Timberlake + The Tennessee Kids,Concert Film,"October 12, 2016",90,7.7,English
42,Clinical,Thriller,"January 13, 2017",104,5.1,English
43,GIMS: On the Record,Documentary,"September 17, 2020",96,6.8,French
44,Sometimes,Drama,"May 1, 2018",101,7.2,Tamil
45,CounterPunch ,Documentary,"June 16, 2017",91,6.7,English
46,Dark Forces,Thriller,"August 21, 2020",81,2.6,Spanish
47,El Camino Christmas,Dark comedy,"December 8, 2017",89,5.7,English
48,Horse Girl,Drama,"February 7, 2020",104,5.9,English
49,Life Overtakes Me,Documentary,"June 14, 2019",40,6.5,English/Swedish
50,See You Yesterday,Science fiction,"May 17, 2019",87,5.2,English
51,I'll Sleep When I'm Dead,Documentary,"August 19, 2016",79,6.6,English
52,Someone Great,Romantic comedy,"April 19, 2019",92,6.2,English
53,The Sleepover,Comedy,"August 21, 2020",103,5.6,English
54,Ibiza,Comedy,"May 25, 2018",94,5.2,English
55,El Camino: A Breaking Bad Movie,Crime drama,"October 11, 2019",121,7.3,English
56,I Am All Girls,Thriller,"May 14, 2021",107,5.8,English
57,The Perfection,Horror-thriller,"May 24, 2019",90,6.1,English
58,The Incredible Jessica James,Comedy,"July 28, 2017",83,6.5,English
59,Pagglait,Comedy-drama,"March 26, 2021",114,6.9,Hindi
60,Team Foxcatcher,Documentary,"April 29, 2016",90,7.3,English/Russian
61,Tig,Documentary,"July 17, 2015",80,7.4,English
62,One-Way to Tomorrow,Romance,"June 19, 2020",90,5.6,Turkish
63,Earth and Blood,Action,"April 17, 2020",80,4.9,French
64,Outside the Wire,Action/Science fiction,"January 15, 2021",114,5.4,English
65,The Trader,Documentary,"February 9, 2018",23,6.8,Georgian
66,Fyre: The Greatest Party That Never Happened,Documentary,"January 18, 2019",97,7.2,English
67,Nobody Sleeps in the Woods Tonight,Horror,"October 28, 2020",103,4.8,Polish
68,"Crack: Cocaine, Corruption & Conspiracy",Documentary,"January 11, 2021",89,6.7,English
69,Disclosure: Trans Lives on Screen,Documentary,"June 19, 2020",107,8.2,English
70,Mercury 13,Documentary,"April 20, 2018",79,6.8,English
71,Hope Frozen: A Quest to Live Twice,Documentary,"September 15, 2020",80,6.7,Thia/English
72,The Players,Comedy,"July 15, 2020",88,4.6,Italian
73,The Great Hack,Documentary,"July 24, 2019",114,7.1,English
74,On My Skin,Crime drama,"September 12, 2018",100,7.3,Italian
75,Imperial Dreams,Drama,"February 3, 2017",87,6.7,English
76,Brene Brown: The Call to Courage,Documentary,"April 19, 2019",76,7.7,English
77,Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,"September 27, 2019",41,6.4,English
78,ReMastered: Who Shot the Sheriff?,Documentary,"October 12, 2018",57,6.9,English
79,Little Evil,Comedy horror,"September 1, 2017",94,5.7,English
80,XOXO,Drama,"August 26, 2016",92,5.3,English
81,Los Tigres del Norte at Folsom Prison,Documentary,"September 15, 2019",64,7.0,Spanish
82,Night in Paradise,Drama,"April 9, 2021",132,6.7,Korean
83,The Claudia Kishi Club,Documentary,"July 10, 2020",17,6.9,English
84,Shawn Mendes: Live in Concert,Concert Film,"November 25, 2020",87,7.4,English
85,The Death and Life of Marsha P. Johnson,Documentary,"October 6, 2017",105,7.3,English
86,Feel the Beat,Family/Comedy-drama,"June 19, 2020",107,6.3,English
87,Double Dad,Comedy-drama,"January 15, 2021",103,5.6,Portuguese
88,The Willoughbys,Animation/Comedy/Adventure,"April 22, 2020",90,6.4,English
89,Guilty,Thriller,"March 6, 2020",119,5.4,Hindi
90,"Strip Down, Rise Up",Documentary,"February 5, 2021",112,5.2,English
91,The Call,Drama,"November 27, 2020",112,4.1,Korean
92,Leyla Everlasting,Comedy,"December 4, 2020",112,3.7,Turkish
93,The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",149,3.7,English
94,Mank,Biopic,"December 4, 2020",132,6.9,English
95,15 August,Comedy-drama,"March 29, 2019",124,5.8,Marathi
96,The Perfect Date,Romantic comedy,"April 12, 2019",89,5.8,English
97,To All the Boys: Always and Forever,Romantic comedy,"February 12, 2021",109,6.3,English
98,A Christmas Prince: The Royal Baby,Romantic comedy,"December 5, 2019",85,5.4,English
99,Project Power,Superhero,"August 14, 2020",113,6.0,English
100,The Forest of Love,Drama,"October 11, 2019",151,6.3,Japanese
101,We Are One,Documentary,"July 14, 2020",86,4.6,French
102,Eli,Horror,"October 18, 2019",98,5.7,English
103,Get Me Roger Stone,Documentary,"May 12, 2017",101,7.3,English
104,Dude,Teen comedy-drama,"April 20, 2018",97,5.1,English
105,Rattlesnake,Horror,"October 25, 2019",85,4.6,English
106,American Factory,Documentary,"August 21, 2019",110,7.4,English
107,Okja,Action-adventure,"June 28, 2017",121,7.3,English/Korean
108,The Wrong Missy,Comedy,"May 13, 2020",90,5.7,English
109,iBoy,Science fiction/Thriller,"January 27, 2017",90,6.0,English
110,Angela's Christmas,Animation,"November 30, 2018",30,7.1,English
111,Death Note,Horror thriller,"August 25, 2017",100,4.4,English
112,Take Your Pills,Documentary,"March 16, 2018",87,6.4,English
113,Blue Miracle,Drama,"May 27, 2021",95,6.7,English
