app,mode,destination,source,distance,price
Uber,Black SUV,Financial District,Northeastern University,4.57,37.5
Uber,Black,Financial District,North End,1.04,15.0
Lyft,Lyft XL,Back Bay,Fenway,1.51,13.5
Lyft,Lyft,Northeastern University,Back Bay,1.07,7.0
Uber,Black SUV,Back Bay,North End,2.38,35.0
Lyft,Lyft XL,North Station,Haymarket Square,0.42,9.0
Lyft,Lyft XL,West End,Northeastern University,2.83,16.5
Lyft,Lyft,Northeastern University,Beacon Hill,2.47,9.0
Lyft,Lux,Theatre District,North End,1.52,16.5
Uber,UberXL,West End,South Station,1.97,17.5
Lyft,Lux Black XL,Fenway,Beacon Hill,2.38,27.5
Lyft,Lux Black,Northeastern University,Back Bay,1.11,16.5
Uber,UberPool,Financial District,Northeastern University,4.56,14.5
Lyft,Lyft,Beacon Hill,Fenway,2.41,9.0
Uber,UberPool,Boston University,Theatre District,2.62,12.0
Lyft,Shared,Fenway,West End,3.32,9.0
Uber,Black,Beacon Hill,South Station,2.58,22.5
Lyft,Shared,Back Bay,Fenway,1.48,5.0
Uber,WAV,Northeastern University,North Station,3.37,9.5
Lyft,Lux Black,North End,Beacon Hill,1.46,16.5
Lyft,Lux Black,Haymarket Square,Beacon Hill,1.39,16.5
Lyft,Lyft,Fenway,Beacon Hill,2.39,9.0
Lyft,Shared,South Station,Theatre District,0.59,5.0
Uber,Black,Theatre District,North End,1.41,18.5
Lyft,Shared,Financial District,South Station,0.59,5.0
Uber,UberPool,Northeastern University,Beacon Hill,2.54,9.5
Uber,UberPool,Financial District,Haymarket Square,0.99,12.0
Lyft,Lux Black XL,Fenway,Beacon Hill,2.33,27.5
Lyft,Lux Black,Financial District,South Station,0.66,16.5
Uber,WAV,Haymarket Square,Theatre District,1.61,8.5
Uber,UberX,Fenway,West End,2.84,10.5
Uber,Black SUV,Financial District,Haymarket Square,0.99,27.5
Lyft,Lyft XL,Haymarket Square,North Station,0.81,11.0
Uber,UberXL,West End,South Station,1.88,15.5
Uber,WAV,Beacon Hill,South Station,2.5,10.5
Uber,UberX,Northeastern University,West End,3.15,11.5
Lyft,Lux Black XL,Financial District,North End,1.18,27.5
Uber,WAV,West End,Boston University,3.04,10.5
Uber,UberPool,Haymarket Square,Theatre District,1.61,9.5
