price,location
225,Midtown
200,Murray Hill
79,Hell's Kitchen
150,Chinatown
135,Upper West Side
85,Hell's Kitchen
85,Upper West Side
140,Chelsea
44,Inwood
180,East Village
50,Harlem
52,Harlem
50,Harlem
40,Lower East Side
68,East Village
135,Upper West Side
150,Harlem
151,Upper West Side
200,Kips Bay
110,Lower East Side
69,Hell's Kitchen
180,SoHo
250,Upper East Side
52,Hell's Kitchen
80,East Village
99,East Village
225,East Harlem
51,Hell's Kitchen
65,Washington Heights
190,East Village
200,Upper East Side
150,Chelsea
110,Harlem
285,Lower East Side
94,Lower East Side
60,East Village
140,Upper West Side
98,Chelsea
60,Harlem
500,West Village
100,Harlem
59,Hell's Kitchen
235,Upper West Side
225,East Village
170,Harlem
170,Upper West Side
120,Harlem
185,East Village
105,Lower East Side
130,Hell's Kitchen
115,West Village
195,East Village
156,West Village
225,West Village
219,Upper East Side
99,Upper East Side
125,East Village
196,Financial District
170,West Village
165,Harlem
99,Morningside Heights
75,Upper East Side
275,Hell's Kitchen
299,Lower East Side
83,Lower East Side
123,Chelsea
195,Hell's Kitchen
121,Harlem
100,East Harlem
199,West Village
130,East Village
64,Harlem
189,East Village
250,Hell's Kitchen
239,East Village
305,Flatiron District
155,Harlem
60,Harlem
120,Roosevelt Island
150,Lower East Side
250,Chinatown
500,SoHo
225,Greenwich Village
92,Harlem
99,East Village
140,East Harlem
80,Harlem
120,Chinatown
110,Midtown
130,East Village
175,East Village
205,Chelsea
390,East Village
90,Little Italy
68,East Village
115,Upper West Side
129,East Village
75,Harlem
212,East Village
95,Lower East Side
135,Harlem
124,East Harlem
122,Morningside Heights
109,Upper West Side
195,Upper West Side
575,Little Italy
150,Upper West Side
90,Inwood
65,East Village
500,East Village
250,Washington Heights
125,Chinatown
200,West Village
110,Upper West Side
150,Lower East Side
150,Hell's Kitchen
71,East Village
169,East Village
225,East Village
139,East Village
95,Two Bridges
150,Lower East Side
65,East Harlem
67,Washington Heights
249,East Village
60,Harlem
120,Upper West Side
169,Midtown
85,Hell's Kitchen
211,Lower East Side
65,Harlem
99,Harlem
290,Chelsea
