Student,Score
1,68
2,62
3,89
4,54
5,51
6,68
7,82
8,58
9,53
10,62
11,93
12,87
13,69
14,55
15,76
16,60
17,71
18,78
19,39
20,63
21,27
22,59
23,65
24,83
25,54
26,50
27,76
28,52
29,66
30,50
31,62
32,58
33,55
34,76
35,68
36,68
37,79
38,68
39,74
40,43
41,56
42,73
43,58
44,75
45,67
46,60
47,80
48,66
49,64
50,70
51,60
52,80
53,57
54,63
55,70
56,52
57,82
58,96
59,44
60,62
61,52
62,67
63,38
64,87
65,70
66,55
67,40
68,67
69,52
70,66
71,62
72,55
73,89
74,50
75,88
76,59
77,66
78,44
79,75
80,62
81,62
82,66
83,62
84,66
85,72
86,63
87,79
88,67
89,64
90,51
91,57
92,60
93,70
94,75
95,57
96,62
97,44
98,64
99,70
100,62
101,66
102,79
103,86
104,88
105,44
106,58
107,63
108,87
109,55
110,69
111,62
112,78
113,61
114,60
115,87
116,71
117,32
118,66
119,72
120,77
121,41
122,87
123,52
124,66
125,50
126,51
127,81
128,68
129,51
130,65
131,73
132,60
133,47
134,71
135,53
136,59
137,58
138,84
139,73
140,73
141,63
142,57
143,79
144,43
145,55
146,75
147,51
148,87
149,100
150,61
151,49
152,96
153,59
154,63
155,51
156,59
157,52
158,68
159,54
160,53
161,93
162,61
163,85
164,81
165,79
166,61
167,45
168,52
169,78
170,64
171,80
172,39
173,72
174,88
175,62
176,63
177,64
178,53
179,82
180,71
181,67
182,57
183,66
184,49
185,56
186,71
187,32
188,43
189,60
190,70
191,66
192,69
193,51
194,63
195,75
196,79
197,78
198,69
199,65
200,63
201,78
202,56
203,80
204,42
205,57
206,56
207,57
208,69
209,55
210,65
211,66
212,44
213,58
214,67
215,48
216,73
217,69
218,69
219,91
220,57
221,72
222,62
223,86
224,67
225,68
226,84
227,57
228,76
229,71
230,70
231,65
232,36
233,58
234,79
235,70
236,80
237,50
238,67
239,56
240,53
241,76
242,74
243,62
244,79
245,76
246,54
247,70
248,49
249,89
250,58
251,56
252,38
253,62
254,50
255,64
256,81
257,64
258,67
259,54
260,69
261,71
262,72
263,49
264,38
265,44
266,65
267,51
268,46
269,80
270,65
271,90
272,64
273,81
274,65
275,77
276,62
277,84
278,55
279,72
280,71
281,72
282,80
283,64
284,73
285,73
286,72
287,71
288,80
289,73
290,32
291,54
292,70
293,51
294,71
295,67
296,69
297,60
298,78
299,49
300,73
301,36
302,76
303,73
304,59
305,57
306,49
307,26
308,57
309,73
310,58
311,78
312,70
313,75
314,59
315,68
316,65
317,90
318,63
319,70
320,47
321,61
322,76
323,52
324,63
325,67
326,68
327,61
328,53
329,51
330,56
331,70
332,52
333,90
334,62
335,50
336,57
337,64
338,53
339,64
340,66
341,39
342,80
343,73
344,64
345,60
346,48
347,54
348,50
349,70
350,87
351,63
352,60
353,96
354,53
355,47
356,89
357,61
358,65
359,75
360,51
361,49
362,52
363,76
364,72
365,63
366,80
367,63
368,76
369,63
370,75
371,73
372,84
373,78
374,69
375,52
376,76
377,83
378,54
379,65
380,80
381,79
382,43
383,69
384,45
385,71
386,54
387,81
388,78
389,70
390,87
391,54
392,74
393,86
394,64
395,82
396,71
397,55
398,65
399,61
400,62
401,60
402,72
403,90
404,87
405,76
406,62
407,50
408,76
409,43
410,57
411,48
412,54
413,83
414,45
415,67
416,81
417,60
418,68
419,41
420,83
421,57
422,48
423,54
424,80
425,69
426,71
427,69
428,71
429,86
430,32
431,88
432,78
433,72
434,66
435,80
436,55
437,79
438,68
439,57
440,81
441,50
442,57
443,66
444,64
445,67
446,57
447,44
448,59
449,81
450,52
451,75
452,62
453,57
454,47
455,57
456,50
457,69
458,64
459,36
460,53
461,70
462,78
463,70
464,72
465,75
466,59
467,54
468,59
469,69
470,89
471,73
472,88
473,78
474,38
475,67
476,61
477,73
478,74
479,72
480,73
481,68
482,51
483,77
484,86
485,59
486,72
487,75
488,71
489,33
490,44
491,71
492,80
493,90
494,74
495,58
496,51
497,63
498,92
499,68
500,62
