StudentID,Planning on taking
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,0
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,1
477,0
478,1
479,1
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,0
501,0
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,0
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,0
555,1
556,0
557,1
558,1
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,1
574,1
575,0
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,1
585,1
586,0
587,0
588,1
589,0
590,0
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,0
600,1
601,1
602,1
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,0
627,0
628,1
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,1
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,0
671,0
672,0
673,1
674,1
675,1
676,1
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,0
697,0
698,0
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,1
707,1
708,1
709,0
710,0
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,0
725,0
726,1
727,1
728,1
729,1
730,1
731,0
732,1
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,1
749,1
750,0
751,1
752,1
753,0
754,1
755,0
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,0
764,0
765,0
766,1
767,1
768,1
769,1
770,1
771,0
772,1
773,0
774,1
775,1
776,1
777,0
778,1
779,1
780,0
781,1
782,1
783,0
784,1
785,0
786,0
787,1
788,0
789,1
790,1
791,1
792,1
793,0
794,0
795,1
796,1
797,0
798,1
799,1
800,1
801,0
802,1
803,0
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,0
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,0
822,0
823,1
824,0
825,0
826,1
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,0
840,0
841,1
842,1
843,1
844,0
845,1
846,0
847,1
848,1
849,1
850,0
851,1
852,1
853,0
854,1
855,1
856,0
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,0
866,1
867,1
868,1
869,0
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,0
878,1
879,1
880,1
881,0
882,0
883,0
884,1
885,0
886,1
887,1
888,1
889,1
890,1
891,0
892,1
893,1
894,1
895,1
896,0
897,1
898,1
899,1
900,1
