neighborhood,service,closed,open
Balboa Park,Dead Animal,4,0
Balboa Park,Encampment,22,16
Balboa Park,Environmental Services Code Compliance,0,1
Balboa Park,Graffiti - Code Enforcement,0,1
Balboa Park,Graffiti - Public,62,37
Balboa Park,Illegal Dumping,3,4
Balboa Park,Other,3,4
Balboa Park,Parking,2,2
Balboa Park,Parks Issue,33,15
Balboa Park,Pavement Maintenance,0,1
Balboa Park,Pothole,12,9
Balboa Park,ROW Maintenance,0,7
Balboa Park,Sidewalk Repair Issue,0,3
Balboa Park,Stormwater,12,3
Balboa Park,Stormwater Code Enforcement,3,0
Balboa Park,Street Flooded,2,2
Balboa Park,Street Light Maintenance,1,3
Balboa Park,Street Sweeping,1,3
Balboa Park,Traffic Engineering,0,1
Balboa Park,Traffic Sign Maintenance,0,18
Balboa Park,Traffic Signal Issue,1,0
Balboa Park,Tree Maintenance,2,7
Barrio Logan,Encampment,19,11
Barrio Logan,Environmental Services Code Compliance,0,1
Barrio Logan,Graffiti - Public,5,26
Barrio Logan,Illegal Dumping,30,5
Barrio Logan,Missed Collection,1,6
Barrio Logan,Other,44,3
Barrio Logan,Parking,7,3
Barrio Logan,Pavement Maintenance,2,3
Barrio Logan,Pothole,1,8
Barrio Logan,ROW Maintenance,0,2
Barrio Logan,Sidewalk Repair Issue,0,3
Barrio Logan,Stormwater,0,2
Barrio Logan,Stormwater Code Enforcement,0,5
Barrio Logan,Street Light Maintenance,0,3
Barrio Logan,Street Sweeping,0,1
Barrio Logan,Traffic Engineering,0,1
Barrio Logan,Traffic Sign Maintenance,0,4
Barrio Logan,Traffic Signal Issue,3,1
Barrio Logan,Traffic Signal Timing,3,0
Barrio Logan,Tree Maintenance,1,2
Barrio Logan,Waste on Private Property,0,1
Black Mountain Ranch,Dead Animal,1,1
Black Mountain Ranch,Environmental Services Code Compliance,0,1
Black Mountain Ranch,Graffiti - Public,14,6
Black Mountain Ranch,Illegal Dumping,0,1
Black Mountain Ranch,Missed Collection,4,5
Black Mountain Ranch,Parking,0,4
Black Mountain Ranch,Parks Issue,1,0
Black Mountain Ranch,ROW Maintenance,0,1
Black Mountain Ranch,Stormwater Code Enforcement,0,1
Black Mountain Ranch,Street Flooded,0,1
Black Mountain Ranch,Street Light Maintenance,0,1
Black Mountain Ranch,Traffic Sign Maintenance,1,1
Black Mountain Ranch,Traffic Signal Issue,3,1
Black Mountain Ranch,Traffic Signal Timing,1,0
Black Mountain Ranch,Tree Maintenance,2,0
Carmel Mountain Ranch,Encampment,1,2
Carmel Mountain Ranch,Graffiti - Public,2,0
Carmel Mountain Ranch,Illegal Dumping,0,1
Carmel Mountain Ranch,Missed Collection,1,6
Carmel Mountain Ranch,Other,2,0
Carmel Mountain Ranch,Parking,2,5
Carmel Mountain Ranch,Parks Issue,0,1
Carmel Mountain Ranch,Pavement Maintenance,0,1
Carmel Mountain Ranch,Pothole,3,59
Carmel Mountain Ranch,ROW Maintenance,0,1
Carmel Mountain Ranch,Right-of-Way Code Enforcement,0,1
Carmel Mountain Ranch,Sidewalk Repair Issue,1,0
Carmel Mountain Ranch,Stormwater Code Enforcement,0,3
Carmel Mountain Ranch,Street Flooded,1,0
Carmel Mountain Ranch,Traffic Sign Maintenance,0,1
Carmel Mountain Ranch,Traffic Signal Issue,0,1
Carmel Mountain Ranch,Traffic Signal Timing,1,0
