Year,Total Gross in Billions,Number of Movies,#1 Movie
2022,5.64,380,Top Gun: Maverick
2021,4.48,439,Spider-Man: No Way Home
2020,2.11,456,Bad Boys for Life
2019,11.36,910,Avengers: Endgame
2018,11.89,993,Black Panther
2017,11.08,854,Star Wars: Episode VIII - The Last Jedi
2016,11.38,855,Finding Dory
2015,11.15,845,Jurassic World
2014,10.37,849,Guardians of the Galaxy
2013,10.96,826,Iron Man 3
2012,10.84,807,The Avengers
2011,10.16,731,Harry Potter and the Deathly Hallows: Part 2
2010,10.59,651,Avatar
2009,10.62,646,Transformers: Revenge of the Fallen
2008,9.65,725,The Dark Knight
2007,9.68,775,Spider-Man 3
2006,9.2,746,Pirates of the Caribbean: Dead Man's Chest
2005,8.83,676,Star Wars: Episode III - Revenge of the Sith
2004,9.35,700,Shrek 2
2003,9.23,667,Finding Nemo
2002,9.16,570,Spider-Man
2001,7.96,412,Harry Potter and the Sorcerer's Stone
2000,7.48,439,How the Grinch Stole Christmas
1999,7.34,448,Star Wars: Episode I - The Phantom Menace
1998,6.7,334,Titanic
1997,6.08,310,Men in Black
1996,5.6,306,Independence Day
1995,5.11,291,Batman Forever
1994,5.06,259,The Lion King
1993,4.82,267,Jurassic Park
1992,4.52,247,Batman Returns
1991,4.34,253,Terminator 2: Judgment Day
1990,4.33,236,Ghost
1989,4.08,235,Batman
1988,3.54,239,Who Framed Roger Rabbit
1987,3.34,226,Beverly Hills Cop II
1986,3.07,201,Top Gun
1985,3.02,191,Back to the Future
1984,3.07,169,Ghostbusters
1983,2.74,149,Star Wars: Episode VI - Return of the Jedi
1982,3,132,E.T. the Extra-Terrestrial
1981,0.9,56,Superman II
1980,1.64,68,Star Wars: Episode V - The Empire Strikes Back
1979,1.23,40,Superman
1978,0.83,13,Grease
1977,0.44,9,Star Wars: Episode IV - A New Hope
