Macrotrends Data Download

San Diego Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,440000
1951-12-31,470000,6.82
1952-12-31,502000,6.81
1953-12-31,536000,6.77
1954-12-31,573000,6.9
1955-12-31,612000,6.81
1956-12-31,653000,6.7
1957-12-31,698000,6.89
1958-12-31,745000,6.73
1959-12-31,796000,6.85
1960-12-31,844000,6.03
1961-12-31,875000,3.67
1962-12-31,907000,3.66
1963-12-31,940000,3.64
1964-12-31,974000,3.62
1965-12-31,1010000,3.7
1966-12-31,1047000,3.66
1967-12-31,1085000,3.63
1968-12-31,1125000,3.69
1969-12-31,1166000,3.64
1970-12-31,1209000,3.69
1971-12-31,1252000,3.56
1972-12-31,1297000,3.59
1973-12-31,1344000,3.62
1974-12-31,1392000,3.57
1975-12-31,1442000,3.59
1976-12-31,1493000,3.54
1977-12-31,1547000,3.62
1978-12-31,1602000,3.56
1979-12-31,1660000,3.62
1980-12-31,1718000,3.49
1981-12-31,1774000,3.26
1982-12-31,1832000,3.27
1983-12-31,1891000,3.22
1984-12-31,1953000,3.28
1985-12-31,2017000,3.28
1986-12-31,2082000,3.22
1987-12-31,2150000,3.27
1988-12-31,2220000,3.26
1989-12-31,2293000,3.29
1990-12-31,2356000,2.75
1991-12-31,2387000,1.32
1992-12-31,2418000,1.3
1993-12-31,2450000,1.32
1994-12-31,2482000,1.31
1995-12-31,2514000,1.29
1996-12-31,2547000,1.31
1997-12-31,2580000,1.3
1998-12-31,2614000,1.32
1999-12-31,2648000,1.3
2000-12-31,2681000,1.25
2001-12-31,2708000,1.01
2002-12-31,2735000,1
2003-12-31,2763000,1.02
2004-12-31,2791000,1.01
2005-12-31,2819000,1
2006-12-31,2848000,1.03
2007-12-31,2876000,0.98
2008-12-31,2905000,1.01
2009-12-31,2935000,1.03
2010-12-31,2964000,0.99
2011-12-31,2994000,1.01
2012-12-31,3024000,1
2013-12-31,3055000,1.03
2014-12-31,3086000,1.01
2015-12-31,3117000,1
2016-12-31,3148000,0.99
2017-12-31,3180000,1.02
2018-12-31,3212000,1.01
2019-12-31,3231000,0.59
2020-12-31,3251000,0.62
2021-12-31,3272000,0.65
2022-12-31,3295000,0.7
2023-12-31,3319000,0.73
2024-12-31,3345000,0.78
2025-12-31,3373000,0.84
2026-12-31,3402000,0.86
2027-12-31,3433000,0.91
2028-12-31,3464000,0.9
2029-12-31,3495000,0.89
2030-12-31,3526000,0.89
2031-12-31,3557000,0.88
2032-12-31,3588000,0.87
2033-12-31,3619000,0.86
2034-12-31,3649000,0.83
2035-12-31,3678000,0.79
