Macrotrends Data Download

San Jose Metro Area Population 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1950-12-31,182000
1951-12-31,206000,13.19
1952-12-31,233000,13.11
1953-12-31,263000,12.88
1954-12-31,297000,12.93
1955-12-31,336000,13.13
1956-12-31,380000,13.1
1957-12-31,430000,13.16
1958-12-31,486000,13.02
1959-12-31,550000,13.17
1960-12-31,611000,11.09
1961-12-31,642000,5.07
1962-12-31,676000,5.3
1963-12-31,712000,5.33
1964-12-31,749000,5.2
1965-12-31,788000,5.21
1966-12-31,829000,5.2
1967-12-31,873000,5.31
1968-12-31,919000,5.27
1969-12-31,967000,5.22
1970-12-31,1009000,4.34
1971-12-31,1027000,1.78
1972-12-31,1046000,1.85
1973-12-31,1064000,1.72
1974-12-31,1084000,1.88
1975-12-31,1103000,1.75
1976-12-31,1123000,1.81
1977-12-31,1143000,1.78
1978-12-31,1163000,1.75
1979-12-31,1184000,1.81
1980-12-31,1204000,1.69
1981-12-31,1221000,1.41
1982-12-31,1237000,1.31
1983-12-31,1254000,1.37
1984-12-31,1271000,1.36
1985-12-31,1288000,1.34
1986-12-31,1305000,1.32
1987-12-31,1323000,1.38
1988-12-31,1341000,1.36
1989-12-31,1359000,1.34
1990-12-31,1376000,1.25
1991-12-31,1392000,1.16
1992-12-31,1408000,1.15
1993-12-31,1424000,1.14
1994-12-31,1441000,1.19
1995-12-31,1457000,1.11
1996-12-31,1474000,1.17
1997-12-31,1491000,1.15
1998-12-31,1508000,1.14
1999-12-31,1525000,1.13
2000-12-31,1541000,1.05
2001-12-31,1554000,0.84
2002-12-31,1566000,0.77
2003-12-31,1578000,0.77
2004-12-31,1591000,0.82
2005-12-31,1603000,0.75
2006-12-31,1616000,0.81
2007-12-31,1629000,0.8
2008-12-31,1642000,0.8
2009-12-31,1655000,0.79
2010-12-31,1668000,0.79
2011-12-31,1681000,0.78
2012-12-31,1694000,0.77
2013-12-31,1708000,0.83
2014-12-31,1721000,0.76
2015-12-31,1735000,0.81
2016-12-31,1749000,0.81
2017-12-31,1762000,0.74
2018-12-31,1776000,0.79
2019-12-31,1783000,0.39
2020-12-31,1791000,0.45
2021-12-31,1799000,0.45
2022-12-31,1809000,0.56
2023-12-31,1821000,0.66
2024-12-31,1834000,0.71
2025-12-31,1848000,0.76
2026-12-31,1863000,0.81
2027-12-31,1879000,0.86
2028-12-31,1895000,0.85
2029-12-31,1912000,0.9
2030-12-31,1929000,0.89
2031-12-31,1946000,0.88
2032-12-31,1963000,0.87
2033-12-31,1980000,0.87
2034-12-31,1996000,0.81
2035-12-31,2013000,0.85
