Section,Score
10am,59.0
9am,67.0
10am,56.0
10am,30.0
10am,63.0
9am,90.0
10am,67.0
10am,55.0
9am,33.0
11am,84.0
11am,67.0
11am,48.0
10am,63.0
10am,67.0
10am,29.0
10am,79.0
9am,62.0
10am,49.0
10am,54.0
9am,93.0
10am,93.0
11am,66.0
9am,71.0
10am,44.0
11am,65.0
11am,87.0
11am,91.0
11am,68.0
10am,85.0
11am,75.0
11am,74.0
11am,53.0
10am,31.0
11am,43.0
11am,87.0
10am,73.0
10am,44.0
9am,36.0
11am,87.0
9am,57.0
10am,75.0
11am,30.0
11am,84.0
11am,86.0
11am,87.0
10am,81.0
10am,66.0
9am,57.0
11am,74.0
9am,51.0
10am,41.0
10am,75.0
9am,76.0
9am,79.0
9am,46.0
11am,73.0
11am,75.0
11am,58.0
11am,54.0
11am,64.0
9am,55.0
9am,35.0
9am,85.0
11am,47.0
9am,90.0
9am,67.0
10am,95.0
11am,61.0
11am,94.0
9am,94.0
11am,65.0
10am,70.0
10am,51.0
10am,65.0
11am,82.0
11am,43.0
11am,53.0
9am,93.0
10am,59.0
11am,56.0
11am,67.0
9am,37.0
9am,81.0
9am,90.0
10am,49.0
9am,66.0
11am,82.0
11am,54.0
9am,64.0
11am,71.0
10am,60.0
10am,82.0
9am,65.0
9am,44.0
9am,45.0
9am,91.0
9am,34.0
10am,39.0
9am,58.0
10am,52.0
9am,89.0
10am,80.0
9am,68.0
9am,48.0
10am,68.0
11am,64.0
9am,64.0
11am,78.0
9am,70.0
9am,62.0
10am,53.0
11am,76.0
11am,69.0
11am,32.0
9am,81.0
9am,50.0
11am,87.0
10am,67.0
10am,47.0
9am,81.0
9am,103.0
9am,50.0
10am,85.0
11am,68.0
11am,32.0
11am,83.0
10am,38.0
10am,63.0
10am,80.0
9am,60.0
9am,71.0
11am,66.0
11am,91.0
11am,69.0
9am,35.0
11am,81.0
10am,58.0
10am,74.0
11am,60.0
10am,91.0
9am,60.0
10am,81.0
11am,75.0
11am,58.0
10am,66.0
10am,88.0
10am,64.0
9am,78.0
11am,62.0
9am,62.0
10am,78.0
11am,66.0
10am,45.0
11am,67.0
9am,69.0
11am,84.0
11am,43.0
9am,93.0
10am,73.0
9am,47.0
10am,47.0
10am,39.0
9am,52.0
10am,61.0
11am,66.0
10am,98.0
11am,74.0
10am,89.0
9am,33.0
10am,71.0
10am,47.0
10am,49.0
11am,61.0
10am,26.0
9am,39.0
11am,81.0
9am,95.0
11am,69.0
9am,55.0
9am,51.0
9am,34.0
9am,29.0
10am,86.0
11am,65.0
9am,74.0
10am,96.0
10am,58.0
11am,56.0
9am,54.0
9am,74.0
9am,66.0
10am,76.0
10am,54.0
9am,30.0
11am,92.0
10am,70.0
10am,62.0
10am,89.0
9am,66.0
10am,75.0
11am,57.0
9am,36.0
9am,37.0
10am,33.0
10am,66.0
10am,55.0
10am,70.0
11am,56.0
10am,80.0
9am,39.0
10am,48.0
11am,74.0
10am,37.0
11am,87.0
9am,86.0
10am,44.0
11am,51.0
11am,61.0
10am,54.0
11am,87.0
11am,60.0
10am,78.0
10am,68.0
11am,79.0
10am,72.0
11am,95.0
9am,79.0
10am,46.0
10am,70.0
10am,44.0
11am,59.0
10am,51.0
9am,35.0
9am,87.0
11am,95.0
11am,81.0
11am,36.0
10am,46.0
11am,76.0
10am,60.0
9am,89.0
9am,43.0
10am,33.0
11am,61.0
9am,64.0
10am,75.0
11am,37.0
9am,46.0
10am,89.0
11am,82.0
11am,85.0
10am,44.0
9am,77.0
10am,80.0
10am,87.0
9am,80.0
11am,84.0
10am,53.0
11am,99.0
9am,28.0
10am,68.0
10am,93.0
11am,57.0
11am,84.0
10am,43.0
10am,63.0
11am,60.0
11am,68.0
11am,56.0
11am,79.0
11am,27.0
10am,57.0
10am,69.0
9am,54.0
9am,45.0
9am,78.0
9am,84.0
11am,82.0
9am,88.0
11am,57.0
10am,44.0
10am,79.0
9am,65.0
9am,40.0
9am,48.0
11am,83.0
9am,67.0
9am,69.0
11am,92.0
11am,64.0
11am,58.0
11am,54.0
10am,30.0
11am,35.0
11am,63.0
