Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,City,San Diego,Police,Police Sergeant,False,False,,100838,121909,,119798,219805,5107,14428,359138,20515,0,0,16982,37497,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Officer II,False,False,,83096,100422,,98697,212995,11606,22038,345336,18727,0,0,7293,26020,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Assistant Police Chief,False,False,,68931,261144,,207695,0,93428,35127,336250,0,0,6873,19629,26502,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Sergeant,False,False,,100838,121909,,119834,172770,30467,12869,335940,0,0,4331,17754,22085,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,90480,109491,,92438,167681,8855,66656,335630,24362,0,0,20740,45102,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,90480,109491,,108443,185798,0,40277,334518,0,0,4457,14853,19310,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fire-Rescue,Fire Engineer,False,False,,67371,81453,,42642,236937,10372,39998,329949,20292,0,0,20750,41042,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Sergeant,False,False,,100838,121909,,119816,178879,8681,18822,326198,0,0,4331,17754,22085,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Retirement,Retirement Administrator,False,False,,81037,323606,,311828,0,0,12797,324625,0,0,25440,0,25440,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fire-Rescue,Fire Prevention Inspector II,False,False,,67371,81453,,81453,119929,64389,36923,302694,18991,0,0,7243,26234,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Officer II,False,False,,83096,100422,,98713,171906,7038,16689,294346,19996,0,0,17754,37750,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Chief,False,False,,68931,261144,,238332,0,16229,34640,289201,0,0,7887,20525,28412,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Independent Budget Analyst,Independent Budget Analyst,False,False,,68931,261144,,224312,0,44459,15360,284131,33270,0,13571,7372,54213,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fire-Rescue,Fire Captain,False,False,,77626,93954,,92700,130458,7985,50477,281620,23370,0,0,20750,44120,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Sergeant,False,False,,100838,121909,,119834,125702,12419,21092,279047,0,0,4470,17754,22224,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Sergeant,False,False,,100838,121909,,118680,115024,9106,30520,273330,0,0,4514,6432,10946,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,90480,109491,,100139,126428,9085,37484,273136,25483,0,0,20750,46233,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Office Of The Chief Operating Officer,Chief Operating Officer,False,False,,81037,323606,,272642,0,0,0,272642,0,0,0,0,0,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Executive Assistant Police Chief,False,False,,68931,261144,,218790,0,15200,37109,271099,0,0,7240,15375,22615,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fire-Rescue,Fire Captain,False,False,,77626,93954,,93140,132490,7703,37487,270820,20428,0,0,20750,41178,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Police,Police Sergeant,False,False,,100838,121909,,119816,104044,15636,30269,269765,29649,0,0,6943,36592,3.0% @ 50,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
