,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
9671,3838,CAFE PICARO,3120 16th St,San Francisco,CA,94103,37.764908,-122.422442,"{'longitude': '-122.422442', 'latitude': '37.764908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155434089.0,3838_20180222,2018-02-22T00:00:00.000,72.0,Routine - Unscheduled,3838_20180222_103142,Unclean nonfood contact surfaces,Low Risk,19.0,4.0,5.0,8.0,28853.0,20.0
9679,63619,Subway Sandwiches,77 Van Ness Ave #100,San Francisco,CA,94102,37.776133,-122.419484,"{'longitude': '-122.419484', 'latitude': '37.776133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155981866.0,63619_20170919,2017-09-19T00:00:00.000,92.0,Routine - Unscheduled,63619_20170919_103154,Unclean or degraded floors walls or ceilings,Low Risk,36.0,9.0,9.0,7.0,28852.0,36.0
9695,7786,DIANDA'S ITAL-AMER.PASTRY CO.,2883 Mission St,San Francisco,CA,94110,37.750959,-122.418264,"{'longitude': '-122.418264', 'latitude': '37.750959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155645469.0,7786_20171018,2017-10-18T00:00:00.000,85.0,Routine - Unscheduled,7786_20171018_103129,Insufficient hot water or running water,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
9707,1635,KEZAR PUB,770 Stanyan St,San Francisco,CA,94117,37.767828,-122.453227,"{'longitude': '-122.453227', 'latitude': '37.767828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155389292.0,1635_20171215,2017-12-15T00:00:00.000,91.0,Routine - Unscheduled,1635_20171215_103114,High risk vermin infestation,High Risk,9.0,5.0,11.0,15.0,29492.0,3.0
9708,64379,Piccadilly Fish & Chips,1348 Polk St,San Francisco,CA,94109,37.789299,-122.420352,"{'longitude': '-122.420352', 'latitude': '37.789299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155776477.0,64379_20161024,2016-10-24T00:00:00.000,90.0,Routine - Unscheduled,64379_20161024_103161,Low risk vermin infestation,Low Risk,21.0,9.0,10.0,13.0,28858.0,21.0
9718,7645,LUCKY PORK MARKET,2659 MISSION St,San Francisco,CA,94110,37.754513,-122.418626,"{'longitude': '-122.418626', 'latitude': '37.754513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155644805.0,7645_20181023,2018-10-23T00:00:00.000,86.0,Routine - Unscheduled,7645_20181023_103120,Moderate risk food holding temperature,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
9721,69769,Whole Foods Market,1150 Ocean Ave,San Francisco,CA,94112,37.723652,-122.45461,"{'longitude': '-122.45461', 'latitude': '37.723652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155337400.0,69769_20180725,2018-07-25T00:00:00.000,90.0,Routine - Unscheduled,69769_20180725_103144,Unapproved or unmaintained equipment or utensils,Low Risk,40.0,8.0,4.0,9.0,28861.0,41.0
9726,5955,SF CHRISTIAN DAY SCHOOL,25 WHITTIER St,San Francisco,CA,94112,37.709896,-122.448082,"{'longitude': '-122.448082', 'latitude': '37.709896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155581117.0,5955_20190214,2019-02-14T00:00:00.000,96.0,Routine - Unscheduled,5955_20190214_103156,Permit license or inspection report not posted,Low Risk,5.0,7.0,6.0,9.0,28861.0,7.0
9730,5998,CENTRO LATINO DE SAN FRANCISCO,1656 15th St,San Francisco,CA,94103,37.766618,-122.421263,"{'longitude': '-122.421263', 'latitude': '37.766618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155868758.0,5998_20180409,2018-04-09T00:00:00.000,86.0,Routine - Unscheduled,5998_20180409_103123,Food in poor condition,Moderate Risk,19.0,4.0,7.0,8.0,28853.0,20.0
9739,2359,LA TRAVIATA,2854 MISSION St,San Francisco,CA,94110,37.751296,-122.418414,"{'longitude': '-122.418414', 'latitude': '37.751296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155280500.0,2359_20170706,2017-07-06T00:00:00.000,62.0,Routine - Unscheduled,2359_20170706_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
