series,baker,star_baker,technical_winner,technical_top3,technical_bottom,technical_highest,technical_lowest,technical_median,series_winner,series_runner_up,total_episodes_appeared,first_date_appeared,last_date_appeared,first_date_us,last_date_us,percent_episodes_appeared,percent_technical_top3,baker_full,age,occupation,hometown,baker_last,baker_first,gender
1,Annetha,0,0,1,1,2.0,7.0,4.5,0,0,2,2010-08-17,2010-08-24,,,33.333333333333336,50.0,Annetha Mills,30,Midwife,Essex,Mills,Annetha,F
1,David,0,0,1,3,3.0,8.0,4.5,0,0,4,2010-08-17,2010-09-07,,,66.66666666666667,25.0,David Chambers,31,Entrepreneur,Milton Keynes,Chambers,David,M
1,Edd,0,2,4,1,1.0,6.0,2.0,1,0,6,2010-08-17,2010-09-21,,,100.0,66.66666666666667,"Edward ""Edd"" Kimber",24,Debt collector for Yorkshire Bank,Bradford,Kimber,Edward,M
1,Jasminder,0,0,2,2,2.0,5.0,3.0,0,0,5,2010-08-17,2010-09-14,,,83.33333333333333,40.0,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,Randhawa,Jasminder,F
1,Jonathan,0,1,1,2,1.0,9.0,6.0,0,0,3,2010-08-17,2010-08-31,,,50.0,33.333333333333336,Jonathan Shepherd,25,Research Analyst,St Albans,Shepherd,Jonathan,M
1,Lea,0,0,0,1,10.0,10.0,10.0,0,0,1,2010-08-17,2010-08-17,,,16.666666666666668,0.0,Lea Harris,51,Retired,"Midlothian, Scotland",Harris,Lea,F
1,Louise,0,0,0,1,4.0,4.0,4.0,0,0,2,2010-08-17,2010-08-24,,,33.333333333333336,0.0,Louise Brimelow,44,Police Officer,Manchester,Brimelow,Louise,F
1,Mark,0,0,0,0,,,,0,0,1,2010-08-17,2010-08-17,,,16.666666666666668,0.0,Mark Whithers,48,Bus Driver,South Wales,Whithers,Mark,M
1,Miranda,0,2,4,1,1.0,8.0,3.0,0,0,6,2010-08-17,2010-09-21,,,100.0,66.66666666666667,Miranda Gore Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Browne,Miranda,F
1,Ruth,0,0,2,2,2.0,5.0,3.5,0,0,6,2010-08-17,2010-09-21,,,100.0,33.333333333333336,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Clemens,Ruth,F
2,Ben,0,1,3,1,1.0,5.0,2.5,0,0,4,2011-08-16,2011-09-06,,,50.0,75.0,Ben Frazer,31,Graphic Designer,Northampton,Frazer,Ben,M
2,Holly,1,2,5,3,1.0,6.0,3.0,0,0,8,2011-08-16,2011-10-04,,,100.0,62.5,Holly Bell,31,Advertising executive,Leicester,Bell,Holly,F
2,Ian,0,0,1,2,2.0,10.0,10.0,0,0,3,2011-08-16,2011-08-30,,,37.5,33.333333333333336,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",Vallance,Ian,M
2,Janet,1,1,1,6,1.0,8.0,5.0,0,0,7,2011-08-16,2011-09-27,,,87.5,14.285714285714286,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",Basu,Janet,F
2,Jason,1,1,2,3,1.0,7.0,6.0,0,0,5,2011-08-16,2011-09-13,,,62.5,40.0,Jason White,19,Civil Engineering Student,Croydon,White,Jason,M
2,Joanne,1,3,4,4,1.0,11.0,4.5,1,0,8,2011-08-16,2011-10-04,,,100.0,50.0,"Joanne ""Jo"" Wheatley",41,Housewife,"Ongar, Essex",Wheatley,Joanne,F
2,Keith,0,0,0,1,12.0,12.0,12.0,0,0,1,2011-08-16,2011-08-16,,,12.5,0.0,Keith Batsford,31,House husband,"Arlesey, Bedfordshire",Batsford,Keith,M
2,Mary-Anne,0,0,4,4,2.0,9.0,3.5,0,0,8,2011-08-16,2011-10-04,,,100.0,50.0,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",Boermans,Mary-Anne,F
2,Robert,0,0,2,3,3.0,7.0,4.0,0,0,5,2011-08-16,2011-09-13,,,62.5,40.0,Robert Billington,25,Photographer,London,Billington,Robert,M
2,Simon,0,0,0,2,9.0,11.0,10.0,0,0,2,2011-08-16,2011-08-23,,,25.0,0.0,Simon Blackwell,31,Rugby Coach,Norfolk,Blackwell,Simon,M
2,Urvashi,0,0,0,3,7.0,9.0,7.0,0,0,3,2011-08-16,2011-08-30,,,37.5,0.0,Urvashi Roe,40,Head of Marketing,"Enfield, London",Roe,Urvashi,F
2,Yasmin,1,0,2,4,2.0,6.0,5.0,0,0,6,2011-08-16,2011-09-20,,,75.0,33.333333333333336,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",Limbert,Yasmin,F
3,Brendan,1,2,6,4,1.0,10.0,3.0,0,0,10,2012-08-14,2012-10-16,,,100.0,60.0,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,Lynch,Brendan,M
3,Cathryn,0,1,4,4,1.0,8.0,4.0,0,0,8,2012-08-14,2012-10-02,,,80.0,50.0,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Dresser,Cathryn,F
3,Danny,1,0,5,4,2.0,7.0,3.0,0,0,9,2012-08-14,2012-10-09,,,90.0,55.55555555555556,Danny Bryden,45,Intensive care consultant,Sheffield,Bryden,Danny,F
3,James,1,5,7,3,1.0,7.0,1.5,0,0,10,2012-08-14,2012-10-16,,,100.0,70.0,James Morton,21,Medical student,"Hillswick, Shetland Islands",Morton,James,M
3,John,1,1,6,4,1.0,11.0,3.0,1,0,10,2012-08-14,2012-10-16,,,100.0,60.0,John Whaite,22,Law student,Wigan,Whaite,John,M
3,Manisha,0,0,0,5,5.0,10.0,6.0,0,0,5,2012-08-14,2012-09-11,,,50.0,0.0,Manisha Parmar,27,Nursery nurse,Leicester,Parmar,Manisha,F
3,Natasha,0,0,0,1,12.0,12.0,12.0,0,0,1,2012-08-14,2012-08-14,,,10.0,0.0,Natasha Stringer,36,Midwife,"Tamworth, Staffordshire",Stringer,Natasha,F
3,Peter,0,0,1,1,3.0,11.0,7.0,0,0,2,2012-08-14,2012-08-21,,,20.0,50.0,Peter Maloney,43,Sales manager,"Windsor, Berkshire",Maloney,Peter,M
3,Ryan,1,0,0,7,5.0,8.0,6.0,0,0,7,2012-08-14,2012-09-25,,,70.0,0.0,Ryan Chong,38,Photographer,Bristol,Chong,Ryan,M
3,Sarah-Jane,0,1,1,6,1.0,10.0,4.0,0,0,7,2012-08-14,2012-09-25,,,70.0,14.285714285714286,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",Willis,Sarah-Jane,F
3,Stuart,0,0,0,4,7.0,9.0,8.5,0,0,4,2012-08-14,2012-09-04,,,40.0,0.0,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",Marston-Smith,Stuart,M
3,Victoria,1,0,0,3,4.0,7.0,4.0,0,0,3,2012-08-14,2012-08-28,,,30.0,0.0,Victoria Chester,50,CEO of the charity Plantlife,Somerset,Chester,Victoria,F
4,Ali,0,0,0,4,5.0,11.0,8.5,0,0,4,2013-08-20,2013-09-10,,,40.0,0.0,Ali Imdad,25,Charity worker,"Saltley, Birmingham",Imdad,Ali,M
4,Beca,0,1,3,6,1.0,11.0,5.0,0,0,9,2013-08-20,2013-10-15,,,90.0,33.333333333333336,Beca Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Lyne-Pirkis,Beca,F
