series,episode,baker,result,signature
1,1,Annetha,IN,Light Jamaican Black Cake with Strawberries and Cream
1,1,David,IN,Chocolate Orange Cake
1,1,Edd,IN,Caramel Cinnamon and Banana Cake
1,1,Jasminder,IN,Fresh Mango and Passion Fruit Hummingbird Cake
1,1,Jonathan,IN,Carrot Cake with Lime and Cream Cheese Icing
1,1,Louise,IN,Carrot and Orange Cake
1,1,Miranda,IN,Triple Layered Brownie Meringue Cake with Raspberry Cream
1,1,Ruth,IN,Three Tiered Lemon Drizzle Cake with Fresh Cream and freshly made Lemon Curd
1,1,Lea,OUT,Cranberry and Pistachio Cake with Orange Flower Water Icing
1,1,Mark,OUT,Sticky Marmalade Tea Loaf
1,2,David,IN,Cheddar Cheese and Fresh Rosemary Biscuits
1,2,Edd,IN,Oatmeal Raisin Cookie
1,2,Jasminder,IN,Millionaires' Shortbread
1,2,Jonathan,IN,Honey and Candied Ginger Cookies
1,2,Miranda,IN,Fresh Vanilla Biscuits with Royal Icing
1,2,Ruth,IN,Peanut Shortbread with Salted Peanut Caramel
1,2,Annetha,OUT,Rose Petal Shortbread
1,2,Louise,OUT,Stained Glass Window Shortbread
1,3,David,IN,Chilli Bread
1,3,Edd,IN,Olive Bread
1,3,Jasminder,IN,Focaccia
1,3,Miranda,IN,Walnut and Apricot Bread
1,3,Ruth,IN,Maple and Pecan Bread
1,3,Jonathan,OUT,"Anchovy, Sweet Paprika and Oregano Bread"
1,4,Edd,IN,Apple and Plum Pudding
1,4,Jasminder,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce
1,4,Miranda,IN,Sticky Toffee Pudding
1,4,Ruth,IN,Peach and Blueberry Boy Bait
1,4,David,OUT,Pear and Walnut Pudding
1,5,Edd,IN,"Chicken, Ham, Leek and Tarragon Pie"
1,5,Miranda,IN,"Summery Salmon, Cod and Prawn Fish Pie"
1,5,Ruth,IN,Minced Beef Pie
1,5,Jasminder,OUT,Chicken and Mushroom Pie
1,6,Miranda,Runner-up,Lemon Cupcake
1,6,Ruth,Runner-up,"Mint, Ginger and Blackberry Cake"
1,6,Edd,WINNER,Cinnamon and Banana Cake
2,1,Ben,IN,Rhubarb and Custard Cupcakes After Dinner Cupcakes
2,1,Ian,IN,Apple and Cinnamon Cupcakes
2,1,Janet,IN,Raspberry and Cream Cupcakes
2,1,Jason,IN,Lemon Meringue Cupcakes Apple and Cinnamon Cupcakes
2,1,Joanne,IN,Chocolate Orange Cupcakes Orange and Cardamom Cupcakes
2,1,Mary-Anne,IN,Banoffee Cupcakes
2,1,Robert,IN,Blackberry and Vanilla Cupcakes with Liquorice Frosting
2,1,Simon,IN,Guinness and Chocolate Cupcakes
2,1,Urvashi,IN,Cherry Blossom Cupcakes Japanese Lime Cupcakes
2,1,Yasmin,IN,Cardamom and Pomegranate Cupcakes
