Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment,Category,Segment_Category
1,McDonald's,40517,0.30%,13682,-1.20%,Quick Service,Burger,Quick Service & Burger
2,Starbucks,18485,-13.50%,15337,1.90%,Quick Service,Coffee Cafe,Quick Service & Coffee Cafe
3,Chick-fil-A,13745,13.00%,2659,6.70%,Quick Service,Chicken,Quick Service & Chicken
4,Taco Bell,11294,0.00%,6799,0.50%,Quick Service,Mexican,Quick Service & Mexican
5,Wendy's,10231,4.80%,5881,0.50%,Quick Service,Burger,Quick Service & Burger
6,Burger King,9657,-5.40%,7081,-3.60%,Quick Service,Burger,Quick Service & Burger
7,Dunkin',8762,-5.10%,9083,-5.70%,Quick Service,Coffee Cafe,Quick Service & Coffee Cafe
8,Subway,8318,-18.50%,22005,-7.50%,Quick Service,Sandwich,Quick Service & Sandwich
9,Domino's,8287,17.60%,6355,3.70%,Quick Service,Pizza,Quick Service & Pizza
10,Chipotle Mexican Grill,5921,6.50%,2724,5.60%,Fast Casual,Mexican,Fast Casual & Mexican
11,Sonic Drive-In,5680,21.20%,3526,0.00%,Quick Service,Burger,Quick Service & Burger
12,Pizza Hut,5436,-2.20%,6561,-10.20%,Quick Service,Pizza,Quick Service & Pizza
13,Panera Bread,5350,-10.50%,2106,-2.30%,Fast Casual,Sandwich,Fast Casual & Sandwich
14,KFC,4742,4.30%,3943,-3.00%,Quick Service,Chicken,Quick Service & Chicken
15,Popeyes Louisiana Kitchen,4587,20.30%,2608,5.30%,Quick Service,Chicken,Quick Service & Chicken
16,Arby's,4215,8.50%,3369,0.30%,Quick Service,Sandwich,Quick Service & Sandwich
17,Dairy Queen,3978,5.80%,4361,-0.50%,Quick Service,Frozen Desserts,Quick Service & Frozen Desserts
18,Little Caesars,3947,3.50%,4150,-1.50%,Quick Service,Pizza,Quick Service & Pizza
19,Panda Express,3817,-3.30%,2263,2.40%,Fast Casual,Asian,Fast Casual & Asian
20,Jack in the Box,3673,4.80%,2241,-0.10%,Quick Service,Burger,Quick Service & Burger
21,Olive Garden,3407,-20.50%,868,0.20%,Casual Dining,Italian,Casual Dining & Italian
22,Papa John's,3191,15.90%,3134,-0.30%,Quick Service,Pizza,Quick Service & Pizza
