Week,Date,#,Lecture,Readings,Homework,Discussion,Lab
0,Fri 9/23,1,Introduction,[CIT 1.2-1.3](https://inferentialthinking.com/chapters/01/2/why-data-science.html),,,
1,Mon 9/26,2,Association and Causality,"[CIT 2, 2.1-2.5](https://inferentialthinking.com/chapters/02/causality-and-experiments.html)",,1. Association and Causality,
,Tues 9/27,,,,,,
,Wed 9/28,3,Expressions and Data Types,[BPD 1-6](https://notes.dsc10.com/01-getting_started/tools.html),,,
,Fri 9/30,4,Arrays and DataFrames,[BPD 7-8](https://notes.dsc10.com/02-data_sets/arrays.html),,,
,Sat 10/1,,,,,,1. Expressions and Data Types
2,Mon 10/3,5,"Accessing, Sorting, and Querying",[BPD 9-10](https://notes.dsc10.com/02-data_sets/accessing.html),,"2. Python Basics, Arrays, and DataFrames",
,Tues 10/4,,,,1. Causality and Basic Python,,
,Wed 10/5,6,More Queries and GroupBy,[BPD 10-11](https://notes.dsc10.com/02-data_sets/querying.html),,,
,Fri 10/7,7,Data Visualization,"[CIT 7, 7.1](https://inferentialthinking.com/chapters/07/Visualization.html)",,,
,Sat 10/8,,,,,,2. Arrays and DataFrames 
3,Mon 10/10,8,Histograms and Overlaid Plots,[CIT 7.2-7.3](https://inferentialthinking.com/chapters/07/2/Visualizing_Numerical_Distributions.html),,"3. Querying, Grouping, and Plotting",
,Tues 10/11,,,,2. Arrays and DataFrames,,
,Wed 10/12,9,Functions and Apply,"[BPD 6, 12](https://notes.dsc10.com/01-getting_started/functions-defining.html#example)",,,
,Fri 10/14,10,"Grouping with Subgroups, Merge","[BPD 11, 13](https://notes.dsc10.com/02-data_sets/groupby.html)",,,
,Sat 10/15,,,,,,3. Data Visualization and Python Functions 
4,Mon 10/17,11,"Booleans and Conditionals, Iteration",[CIT 9.1-9.2](https://inferentialthinking.com/chapters/09/Randomness.html),,"4. Functions, Subgroups, Merge, and Control Flow",
,Tues 10/18,,,,3. Data Visualization and Python Functions ,,
,Wed 10/19,12,Probability,[CIT 9.5](https://inferentialthinking.com/chapters/09/5/Finding_Probabilities.html),,,
,Fri 10/21,13,Simulation,[CIT 9.3-9.4](https://inferentialthinking.com/chapters/09/3/Simulation.html),,,
,Sat 10/22,,,,,,"4. DataFrames, Control Flow, and Probability "
5,Mon 10/24,14,Distributions and Sampling,[CIT 10.0-10.4](https://inferentialthinking.com/chapters/10/Sampling_and_Empirical_Distributions.html),,5. Probability and Simulation,
,Tues 10/25,,,,"4. DataFrames, Control Flow, and Probability ",,
,Wed 10/26,15,Hypothesis Testing,[CIT 11.0-11.1](https://inferentialthinking.com/chapters/11/Testing_Hypotheses.html),,,
,Fri 10/28,,Midterm Exam (in class),,,,
6,Mon 10/31,16,"Hypothesis Testing, Continued",[CIT 11.2-11.4](https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html),,6. Midterm Solutions and Hypothesis Testing,
,Tues 11/1,,,,Midterm Project ,,
,Wed 11/2,17,Permutation Testing,[CIT 12.0-12.1](https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html),,,
,Fri 11/4,18,"Causality, Bootstrapping",[CIT 12.2-13.2](https://inferentialthinking.com/chapters/12/2/Causality.html),,,
,Sat 11/5,,,,,,"5. Simulation, Sampling, and Hypothesis Testing "
7,Mon 11/7,19,Percentiles and Confidence Intervals,[CIT 13.1-13.3](https://inferentialthinking.com/chapters/13/1/Percentiles.html),,7. Hypothesis Testing and Permutation Testing,
,Tues 11/8,,,,"5. Simulation, Sampling, and Hypothesis Testing ",,
,Wed 11/9,20,"CIs for Hypothesis Testing, Center and Spread",[CIT 13.4-14.2](https://inferentialthinking.com/chapters/13/4/Using_Confidence_Intervals.html),,,
,Fri 11/11,,No Lecture (Veterans Day 🎖️),,,,
,Sat 11/12,,,,,,6. Resampling and the Bootstrap
8,Mon 11/14,21,Normal Curve,[CIT 14.3-14.4](https://inferentialthinking.com/chapters/14/3/SD_and_the_Normal_Curve.html),,8. Permutation Testing and Bootstrapping,
,Tues 11/15,,,,"6. Permutation Testing, Percentiles, and Bootstrapping ",,
,Wed 11/16,22,Central Limit Theorem,[CIT 14.4-14.5](https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html),,,
,Fri 11/18,23,Experiment Design,[CIT 14.6](https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html),,,
,Sat 11/19,,,,,,"7. Center, Spread, and the Normal Distribution"
9,Mon 11/21,24,Prediction and Correlation,"[CIT 15, 15.1-15.2](https://inferentialthinking.com/chapters/15/Prediction.html)",,9. Normal Curve and CLT,
,Tues 11/22,,,,"7. Confidence Intervals, Normal Distributions, and the CLT ",,
,Wed 11/23,25,Regression and Least Squares,[CIT 15.2-15.4](https://inferentialthinking.com/chapters/15/2/Regression_Line.html),,,
,Fri 11/25,,No Lecture (Thanksgiving 🦃),,,,
10,Mon 11/28,26,Residuals and Inference,[CIT 15.5-16.3](https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html),,10. Regression,
,Tues 11/29,,,,Final Project ,,
,Wed 11/30,26,Review,,,,
,Fri 12/2,27,Review and Conclusion,,,,
,Sat 12/3,,Final Exam (3-6PM),,,,
